0.005	0.003	0.011	0.009	0.007	0.006	0.008	0.008	0.01	0.008	0.009	0.015	0.013	0.011	0.012	0.017	1.122	0.039	0.019	0.049	0.062	0.015	0.034	0.014	0.009	0.01	0.016	0.019	0.009	0.005	0.008	0.007	0.032	0.008	0.01	0.005	0.043	0.012	0.026	0.049	0.005	0.003	0.005	0.002	0.009	0.015	0.024	0.015	0.017	0.015	0.001	0.01	0.01	0.007	0.009	0.009	0.011	0.014	0.01	0.008	0.022	0.004	0.000
0.009	0.003	0.024	0.013	0.011	0.009	0.013	0.015	0.012	0.012	0.016	0.011	0.023	0.017	0.029	0.035	0.103	1.219	0.064	0.073	0.088	0.027	0.055	0.02	0.013	0.016	0.029	0.031	0.013	0.006	0.012	0.01	0.031	0.013	0.009	0.008	0.013	0.009	0.012	0.015	0.003	0.002	0.004	0.003	0.008	0.021	0.028	0.013	0.012	0.028	0.001	0.01	0.012	0.004	0.003	0.006	0.007	0.01	0.011	0.007	0.04	0.005	0.000
0.01	0.004	0.013	0.018	0.021	0.017	0.019	0.033	0.033	0.017	0.026	0.028	0.044	0.025	0.062	0.056	0.046	0.066	1.187	0.106	0.123	0.03	0.088	0.016	0.019	0.028	0.031	0.045	0.015	0.008	0.02	0.015	0.038	0.017	0.014	0.01	0.013	0.01	0.01	0.012	0.004	0.003	0.005	0.003	0.012	0.028	0.037	0.015	0.014	0.054	0.002	0.014	0.016	0.005	0.003	0.009	0.008	0.008	0.009	0.009	0.015	0.006	0.000
0.006	0.003	0.008	0.012	0.008	0.007	0.015	0.01	0.009	0.012	0.022	0.009	0.018	0.033	0.017	0.026	0.025	0.03	0.039	1.121	0.037	0.015	0.05	0.009	0.009	0.043	0.02	0.135	0.011	0.004	0.013	0.012	0.012	0.012	0.008	0.004	0.007	0.005	0.005	0.006	0.001	0.001	0.003	0.002	0.004	0.013	0.02	0.008	0.008	0.019	0.001	0.007	0.006	0.004	0.002	0.004	0.004	0.004	0.004	0.005	0.006	0.003	0.000
0.002	0.001	0.018	0.003	0.002	0.002	0.003	0.003	0.002	0.003	0.003	0.002	0.003	0.003	0.003	0.004	0.007	0.003	0.004	0.006	1.135	0.007	0.018	0.003	0.002	0.002	0.002	0.004	0.003	0.002	0.006	0.005	0.07	0.009	0.005	0.001	0.003	0.003	0.002	0.003	0.001	0.001	0.001	0.000	0.002	0.002	0.009	0.002	0.007	0.017	0.000	0.009	0.003	0.001	0.001	0.001	0.002	0.002	0.004	0.002	0.002	0.001	0.000
0.006	0.001	0.006	0.007	0.007	0.014	0.055	0.011	0.01	0.007	0.02	0.031	0.016	0.009	0.011	0.011	0.017	0.011	0.011	0.024	0.012	1.145	0.01	0.006	0.006	0.007	0.015	0.018	0.009	0.004	0.007	0.007	0.007	0.007	0.005	0.007	0.02	0.006	0.005	0.006	0.002	0.002	0.003	0.002	0.008	0.011	0.012	0.018	0.008	0.009	0.001	0.006	0.01	0.003	0.003	0.041	0.009	0.01	0.015	0.01	0.013	0.004	0.000
0.026	0.007	0.019	0.018	0.014	0.013	0.011	0.013	0.018	0.014	0.01	0.008	0.01	0.013	0.012	0.01	0.01	0.013	0.015	0.012	0.02	0.011	1.016	0.019	0.023	0.017	0.014	0.011	0.01	0.007	0.013	0.012	0.011	0.014	0.01	0.007	0.016	0.013	0.013	0.008	0.002	0.002	0.004	0.002	0.006	0.009	0.009	0.015	0.009	0.017	0.001	0.008	0.013	0.005	0.002	0.013	0.007	0.006	0.007	0.009	0.009	0.005	0.000
0.094	0.026	0.152	0.104	0.117	0.082	0.118	0.217	0.127	0.12	0.154	0.099	0.136	0.176	0.191	0.112	0.089	0.113	0.084	0.098	0.074	0.097	0.078	1.518	0.206	0.111	0.063	0.065	0.05	0.064	0.087	0.067	0.105	0.058	0.051	0.083	0.072	0.048	0.075	0.038	0.02	0.014	0.028	0.014	0.042	0.051	0.071	0.058	0.077	0.052	0.007	0.062	0.049	0.044	0.035	0.059	0.091	0.056	0.065	0.052	0.06	0.086	0.000
0.005	0.001	0.007	0.001	0.002	0.002	0.002	0.003	0.002	0.002	0.002	0.002	0.003	0.003	0.005	0.002	0.001	0.002	0.002	0.002	0.001	0.002	0.001	0.002	1.004	0.003	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.003	0.001	0.001	0.000	0.001	0.000	0.001	0.001	0.001	0.001	0.001	0.001	0.000	0.001	0.001	0.004	0.001	0.003	0.003	0.003	0.002	0.005	0.001	0.001	0.000
0.024	0.02	0.022	0.074	0.041	0.034	0.041	0.055	0.039	0.064	0.058	0.038	0.05	0.044	0.149	0.057	0.035	0.054	0.049	0.052	0.041	0.045	0.039	0.041	0.106	1.204	0.051	0.032	0.025	0.015	0.024	0.031	0.041	0.02	0.016	0.024	0.019	0.015	0.014	0.015	0.005	0.004	0.007	0.006	0.013	0.031	0.026	0.025	0.018	0.024	0.002	0.031	0.033	0.062	0.009	0.018	0.021	0.025	0.027	0.011	0.019	0.012	0.000
